titles,authors,informs
머스그레이브 가의 의식,아서 코난도일 저,"추리문학의 금자탑, 코난도일의 홈즈 시리즈, 머스 그레이브 가문에서 대대로 전통적으로 행해지는 의식의 비밀은 무엇인가!"
[증명된 사실] 무서운 도마뱀,이산화 저,"이산화가 이산화임을 스스로 증명하는 압도적 경이로움의 연속! 지금 한국에서 가장 촉망받는 SF 작가 이산화 첫 번째 소설집 과학적 엄밀함으로 철저히 중무장하고 있으면서도, 기독교적 전설은 물론 세계의 신화들을 자유자재로 끌어와 이야기로 엮어내는 우리의 일상에 압도적 경이로움을 주는 소설집! 학위 취득 후 마땅한 일자리를 찾지 못한 물리학 박사 이남민. 주인공 이남민은 구인 사이트를 전전하다 최종 면접까지 합격한 유일한 연구소로 간다. 그런데 문제의 연구소는 깊은 산속에서 ‘영혼과 사후세계’를 연구한다는 곳. 도대체 영혼과 사후세계에 대한 연구에 물리학자가 왜 필요한 걸까? 하지만 연구소는 뜻밖에 을씨년스럽거나 괴상하지도, 귀신의 집 같지도 않은 제대로 된 과학 연구소의 분위기를 풍기는데, 연구소에서 과학자에게 요구하는 일은 사후의 세계를 물리적으로 ‘증명’하라는 것. 보태서 연구소는 신기가 있는, 영혼을 볼 수 있는 소녀를 이남민 박사에게 동료로 붙여주며 영혼에 대한 증명은 끝났으니, 이제 ‘사후 세계의 존재’를 증명하라고 한다. 그리고 각종 측정 장비를 동원해, 영혼이 나타나는 곳들을 찾아 다니며 고군분투하던 이남민 박사는 마침내 결국 누구나 알고 있지만 아무도 생각하지 못했던 방식으로 사후의 세계를 증명해내고 마는데…. 꼼꼼한 논리와 치밀한 구성 끝에, 단 한 문장으로 정리된 결론을 통해 독자들을 경이로움과 충격으로 몰고 가는, 제5회 SF어워드 중단편 부문 우수상 수상작 <증명된 사실>을 비롯해 소설집은 지금 왜 작가 이산화가 한국에서 가장 촉망받는 SF 작가인지를 스스로 증명한다."
김동인의 광염 소나타,김동인 저,"조선에서 제일가는 음악평론가 K씨가 사회교화자 이씨에게 불세출의 천재 백성수의 이야기를 담담히 풀어낸다. 인간의 광기와 예술. 그 경계는 어디까지인가. 김동인의 ‘광염소나타’를 보기 쉽게, 현대적 해석에 맞춰 재구성한 작품이다.. 백성수의 일그러진 예술혼을 살펴보자."
실버 블레이즈,아서 코난도일 저,"우승마로 꼽히는 실버 블레이즈가 갑자기 실종되고 조교가 사망하는 사건이 일어납니다. 의혹을 밝히기 위해 홈즈와 왓슨은 킹스 파일랜드로 향합니다. 우승을 예상한 경주마 실버 블레이즈가 실종됩니다. 대회에 출전하지 못하게 하려는 술책일까요? 추리 문학의 금자탑, 셜록 홈즈 시리즈 [실버 블레이즈]입니다."
나무를 심은 사람,장 지오노 저,"'희망을 심고 행복을 가꾼' 한 사람이 메마르고 황폐한 땅에 홀로 수십 년 동안 나무를 심어 황무지를 생명이 살아 숨쉬는 숲으로 바꾸어놓는 이야기로, 작가가 자신의 경험을 바탕으로 첫 원고를 쓴 뒤 20여 년 동안 다듬어 완성한 작품이다. 1953년 처음 발표된 이래 지금까지 25개 언어로 번역되어 세계적으로 널리 읽히고 있다. 이토록 짧은 작품이 우리에게 깊은 감동과 울림을 주는 이유는 깊은 문학적 향기와 더불어 강력한 메시지를 전하기 때문이다. 공기와 물과 땅이 죽어가고 뭇 생명이 고통받는 파멸의 시대에, 생명을 사랑하며 그것을 가꾸는 숭고한 한 사람의 이야기를 통해 앞으로 현대 문명이 나아가야 할 방향을 가르쳐주는 한 편의 탁월한 '우화'이기 때문이다. 자신을 위해서가 아니라 '우리'를 위해, 공동의 선을 위해 아무런 대가와 보상도 바라지 않고 자신을 바쳐 일한 한 사람의 고결한 정신과 실천이 이 '지구의 모습'을 바꾸어놓고 '세상'을 바꾸어놓는 기적을 감동적으로 보여준다. 이를 통해 우리의 마음속에 '희망의 나무'를 심어주고, 우리의 메마른 영혼 속에 푸른 떡갈나무를 키워낼 내일의 도토리를 심어준다. 우리나라 대표적인 삽화가인 최수연 작가의 아름다운 컬러 삽화를 넣어 새롭게 펴냈다."
어느 가을밤,막심 고리키 저,"일자리를 찾으러 떠난 낯선 거리에서 나레이터는 추위에 떠는 한 여자를 만나게 됩니다. 
러시아 민족작가 막심 고리키의 [어느 가을밤]입니다."
프라이어리 학교,아서 코난도일 저,"사라진 공작의 아들, 샐타이어! 홈즈와 왓슨은 공작의 저택을 찾아가 샐타이어의 행방을 찾아 나섭니다. 자전거 바퀴 자국을 발견한 홈즈는 저택을 둘러싼 비밀을 하나씩 풀어나갑니다. 추리 문학의 고전이며 지금까지 변함없는 사랑을 받는 셜록 홈즈 시리즈!"
월간무림,월간무림 편집부 저,상상초월! 완전당황! 어안벙벙! 義와 忠만이 가득하다고 생각했던 무림. 그런 무림도 결국은 사람이 사는 곳일 뿐이다. 절대정의 무림의 그 뒷면 감추어진 비밀스런 사실을 찾아가는 주글래 기자와 초주검 견습기자의 대 활약상. 놀라지 마시라! 당신이 알고 있는 무림은 이제 없다!
당신 마음대로,셰익스피어 저,"귀로 듣는 책, 귀로 읽는 책! 셰익스피어 걸작선! 셰익스피어의 대표적인 작품을 오디오북으로 들어보세요."
